n,mae_micro,rmse_micro,r2_micro,bias_true_minus_pred,y_true_mean,y_pred_mean,y_true_min,y_true_max,nmae_by_range,coverage95_micro,mean_pred_std,subset,grouping,feature_mode,include_species_feature,model,n_folds,mae_macro_lodo,mae_macro_lodo_std
89,2.823139509752277,3.6782547906006138,0.7782433076707351,0.10566123489278863,37.2977420215474,37.192080786654614,22.677020960046544,53.591,0.09132242426973346,0.9101123595505618,2.9493043471176996,all_rows,diet_name,REDUCED,True,GP_Compuesto_NoARD,19,3.2286834720344224,2.519547707994408
89,7.035844743280088,7.87313593135027,-0.015988087792039307,-0.012741533043277926,37.2977420215474,37.31048355459068,22.677020960046544,53.591,0.22759427811563532,,,all_rows,diet_name,FULL,False,Dummy_GlobalMean,19,6.57094679106763,3.1457178143718014
89,3.7560030795994037,4.695673277982396,0.6385994082743749,-0.003817692064164095,37.2977420215474,37.30155971361157,22.677020960046544,53.591,0.12149853225769214,,,all_rows,diet_name,FULL,False,Dummy_SpeciesMean,19,4.26564560833166,2.779705163063569
89,3.8984206225015128,4.682973841655285,0.6405515788250322,-0.08123938909876914,37.2977420215474,37.37898141064617,22.677020960046544,53.591,0.12610543008595448,0.8202247191011236,3.155163639276797,all_rows,diet_name,FULL,False,GP_Compuesto_NoARD,19,4.080889188490168,2.3769731488253716
89,7.035844743280088,7.87313593135027,-0.015988087792039307,-0.012741533043277926,37.2977420215474,37.31048355459068,22.677020960046544,53.591,0.22759427811563532,,,all_rows,diet_name,FULL,True,Dummy_GlobalMean,19,6.57094679106763,3.1457178143718014
89,3.7560030795994037,4.695673277982396,0.6385994082743749,-0.003817692064164095,37.2977420215474,37.30155971361157,22.677020960046544,53.591,0.12149853225769214,,,all_rows,diet_name,FULL,True,Dummy_SpeciesMean,19,4.26564560833166,2.779705163063569
89,2.845727724135397,3.599476744708478,0.7876404185552626,-0.028130286072542133,37.2977420215474,37.325872307619946,22.677020960046544,53.591,0.09205310388732416,0.9325842696629213,3.033240330766671,all_rows,diet_name,FULL,True,GP_Compuesto_NoARD,19,3.2100526065977912,2.375932028637905
89,7.244031994213976,8.07217865530508,-0.06800834737268446,-0.0036402721139950724,37.29774202154741,37.3013822936614,22.677020960046544,53.591,0.23432868298356982,,,all_rows,species_diet,REDUCED,False,Dummy_GlobalMean,30,7.318335209614444,3.453447064655822
89,3.7560030795994037,4.695673277982396,0.6385994082743749,-0.003817692064164095,37.29774202154741,37.30155971361157,22.677020960046544,53.591,0.12149853225769214,,,all_rows,species_diet,REDUCED,False,Dummy_SpeciesMean,30,3.814314453529741,2.667508298145048
89,7.338862671164358,8.165624676396178,-0.09287865788510796,-0.22839508696844146,37.29774202154741,37.52613710851584,22.677020960046544,53.591,0.23739624917515656,0.7078651685393258,4.765904483929092,all_rows,species_diet,REDUCED,False,GP_Compuesto_NoARD,30,7.371131782499698,3.4147568318752177
89,7.244031994213976,8.07217865530508,-0.06800834737268446,-0.0036402721139950724,37.29774202154741,37.3013822936614,22.677020960046544,53.591,0.23432868298356982,,,all_rows,species_diet,REDUCED,True,Dummy_GlobalMean,30,7.318335209614444,3.453447064655822
89,3.7560030795994037,4.695673277982396,0.6385994082743749,-0.003817692064164095,37.29774202154741,37.30155971361157,22.677020960046544,53.591,0.12149853225769214,,,all_rows,species_diet,REDUCED,True,Dummy_SpeciesMean,30,3.814314453529741,2.667508298145048
89,2.822883633701917,3.67450683267207,0.7786949954183833,-0.0534922090201584,37.29774202154741,37.351234230567556,22.677020960046544,53.591,0.09131414723590262,0.8876404494382022,2.7323800623562797,all_rows,species_diet,REDUCED,True,GP_Compuesto_NoARD,30,2.903790451865601,2.283051674794824
89,7.244031994213976,8.07217865530508,-0.06800834737268446,-0.0036402721139950724,37.29774202154741,37.3013822936614,22.677020960046544,53.591,0.23432868298356982,,,all_rows,species_diet,FULL,False,Dummy_GlobalMean,30,7.318335209614444,3.453447064655822
89,3.7560030795994037,4.695673277982396,0.6385994082743749,-0.003817692064164095,37.29774202154741,37.30155971361157,22.677020960046544,53.591,0.12149853225769214,,,all_rows,species_diet,FULL,False,Dummy_SpeciesMean,30,3.814314453529741,2.667508298145048
89,4.419582529331929,5.312869540531507,0.537351221190647,-0.12406547841951629,37.29774202154741,37.42180749996692,22.677020960046544,53.591,0.14296388451386433,0.6741573033707865,2.8422114485067147,all_rows,species_diet,FULL,False,GP_Compuesto_NoARD,30,4.487411844323676,2.8516575237301813
89,7.244031994213976,8.07217865530508,-0.06800834737268446,-0.0036402721139950724,37.29774202154741,37.3013822936614,22.677020960046544,53.591,0.23432868298356982,,,all_rows,species_diet,FULL,True,Dummy_GlobalMean,30,7.318335209614444,3.453447064655822
89,3.7560030795994037,4.695673277982396,0.6385994082743749,-0.003817692064164095,37.29774202154741,37.30155971361157,22.677020960046544,53.591,0.12149853225769214,,,all_rows,species_diet,FULL,True,Dummy_SpeciesMean,30,3.814314453529741,2.667508298145048
89,3.0381518006323343,3.785488375582434,0.7651249149372918,-0.08979820117435418,37.29774202154741,37.38754022272175,22.677020960046544,53.591,0.09827760433898866,0.9325842696629213,2.8044004105909974,all_rows,species_diet,FULL,True,GP_Compuesto_NoARD,30,3.118942159327517,2.1799792662738287
