feature_mode,target,target_col,model,n_folds,n_samples,mae_macro_mean,mae_macro_std,rmse_macro_mean,rmse_macro_std,r2_macro_mean,r2_macro_std,nlpd_macro_mean,nlpd_macro_std,coverage_95_macro_mean,coverage_95_macro_std
FULL_FEATURES,Quitina,QUITINA (%),GP_RBF_NoARD,11,33,2.1270626344308963,1.871704266897502,2.2313583221276896,1.8677847084875505,-23.391496023565672,46.317916444947784,3.58840475252933,4.940741116094959,0.7878787878787878,0.3423035453683137
FULL_FEATURES,Quitina,QUITINA (%),GP_Matern32_NoARD,11,33,2.0343694102873786,1.6985697559969049,2.1385215863795275,1.6924536111638655,-19.977125179394196,40.036643311605616,3.3745954448147657,4.162184351444245,0.8181818181818182,0.40451991747794525
FULL_FEATURES,Quitina,QUITINA (%),GP_Matern52_NoARD,11,33,2.0190779223968467,1.6677250961255574,2.12502356019696,1.6646638474615334,-19.83011152693532,40.58270152364441,3.5336874307390613,4.600194095531397,0.7575757575757575,0.3969581307590986
FULL_FEATURES,Quitina,QUITINA (%),GP_Compuesto_NoARD,11,33,1.9404517852811174,1.6795604271785907,2.079985910891925,1.7944713871974365,-11.53363111297329,20.124254787878,3.0066775992127543,2.5123905580537795,0.6969696969696969,0.4070092943122622
FULL_FEATURES,Quitina,QUITINA (%),GP_Matern52_ARD,11,33,2.586260802023161,1.7137769068375954,2.6989875240906698,1.7046969558342266,-33.48970967076022,71.23875156180823,3.2624265082039203,2.1084998837680637,0.6363636363636364,0.4070092943122622
FULL_FEATURES,Proteina,PROTEINA (%),Dummy,11,33,3.0836443066377295,1.8268317644182432,3.217431804553174,1.8155119266723894,-34.270012620217024,49.72746595307042,,,,
FULL_FEATURES,Proteina,PROTEINA (%),GP_Linear,11,33,2.6136398112836443,1.9047195218331305,2.693961629236534,1.9112958934041187,-14.653311705358407,16.74039684617482,3.286396309467605,2.0836710753809196,0.7575757575757575,0.42402591878089224
FULL_FEATURES,Proteina,PROTEINA (%),GP_RBF_NoARD,11,33,2.4009733239616873,1.5571304191686826,2.609130836177533,1.4818849146856845,-19.135915810092754,28.249805751680647,2.9663057774081434,1.6002345864772323,0.7272727272727273,0.4168181542799854
FULL_FEATURES,Proteina,PROTEINA (%),GP_Matern32_NoARD,11,33,2.3095694339818778,1.5961414602271666,2.52452900870504,1.520645321169433,-18.08454764900911,28.427338840743747,2.615412780600652,1.02268538377169,0.7575757575757575,0.33634998607300864
FULL_FEATURES,Proteina,PROTEINA (%),GP_Matern52_NoARD,11,33,2.3181950892825336,1.596832292129901,2.5362850260899066,1.5192098299225598,-18.178900390394425,28.786743434670214,2.6334753566351226,1.0492287082373897,0.7878787878787878,0.30813875924572515
FULL_FEATURES,Proteina,PROTEINA (%),GP_Compuesto_NoARD,11,33,1.9543449265258088,1.204656947249056,2.087514145370959,1.1952083223073473,-8.101083447281763,9.446812067684213,3.7979922114199187,3.6943379908022473,0.6969696969696969,0.4070092943122622
FULL_FEATURES,Proteina,PROTEINA (%),GP_Matern32_ARD,11,33,2.7171530984038386,2.0286460058851645,2.8856887537807934,1.9607157230324543,-22.39822274434928,30.629786957659896,4.198923875259153,3.686464135561804,0.6363636363636364,0.4334498677803327
