target,objective,feature_mode,model,incumbent_diet,incumbent_value,candidate_name,byproduct_type,inclusion_pct,is_observed_pct,mu,sigma,ei,predicted_improvement
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo35,orujo,35.0,False,9.492343330352975,0.711593632233959,1.0025438270931004e-17,-5.826034316082355
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo36,orujo,36.0,False,9.545250008630457,0.6972849438263895,4.486392088286501e-18,-5.773127637804873
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo37,orujo,37.0,False,9.598132461029273,0.6837586498597263,2.0925870432893517e-18,-5.720245185406057
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo38,orujo,38.0,False,9.650985227282717,0.6710572196769193,1.0293682317589172e-18,-5.667392419152613
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo39,orujo,39.0,False,9.70380402910413,0.6592273136878603,5.410431340614561e-19,-5.6145736173311995
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo40,orujo,40.0,False,9.756585427179512,0.6483178325782066,3.081408945270251e-19,-5.561792219255818
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo41,orujo,41.0,False,9.80932678885365,0.6383783132813635,1.929411039479503e-19,-5.509050857581681
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo42,orujo,42.0,False,9.862026629517082,0.6294577079468091,1.3476000165998495e-19,-5.456351016918248
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo43,orujo,43.0,False,9.914685385901198,0.6216035614992383,1.0646984650207474e-19,-5.403692260534132
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo44,orujo,44.0,False,9.967306670066238,0.6148616026272234,9.638657448254277e-20,-5.351070976369092
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo45,orujo,45.0,False,10.019899010553921,0.609275748557639,1.0111695741741888e-19,-5.298478635881409
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo46,orujo,46.0,False,10.072477968551459,0.6048884584221859,1.240608780532665e-19,-5.245899677883871
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo47,orujo,47.0,False,10.125068248562876,0.6017412012379515,1.7920215564515971e-19,-5.193309397872454
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo48,orujo,48.0,False,10.177704878511253,0.5998744538643292,3.0588821951100596e-19,-5.140672767924077
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo49,orujo,49.0,False,10.2304314966928,0.5993259953494121,6.171193616542168e-19,-5.08794614974253
