feature_mode,target,target_col,model,n_folds,n_samples,mae_macro_mean,mae_macro_std,rmse_macro_mean,rmse_macro_std,r2_macro_mean,r2_macro_std,nlpd_macro_mean,nlpd_macro_std,coverage_95_macro_mean,coverage_95_macro_std
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_Matern32_ARD,11,33,2.539405275018331,2.016917371858436,2.743370072035652,1.940178265207673,-21.20520742859552,30.88867645604747,3.356254542502857,2.7480472303431753,0.7272727272727273,0.38924947208076144
FULL_FEATURES,FCR,FCR,Dummy,11,31,0.29077656801983903,0.14893284373110122,0.3169790551342296,0.1666981772594003,-86.66528246705269,267.44299373784327,,,,
FULL_FEATURES,FCR,FCR,GP_Linear,11,31,0.31303418754680756,0.1404765111397799,0.3543531087222797,0.16069129019409278,-132.75317876485474,415.7529362547859,0.725476119389144,0.8066565600139164,0.7727272727272727,0.35176323534072423
FULL_FEATURES,FCR,FCR,GP_RBF_NoARD,11,31,0.24819023945574398,0.13338923046452,0.28053214843342367,0.1541948595091523,-72.43874876161934,232.96803607366513,2.537088011328614,3.260806289871211,0.5757575757575757,0.38989768147579695
FULL_FEATURES,FCR,FCR,GP_Matern32_NoARD,11,31,0.26067467908690056,0.14870784364381973,0.2927668758068259,0.16503043521619776,-75.97343768179667,242.3073403782535,2.100036365853536,3.109995105596178,0.6212121212121212,0.4088663805838249
FULL_FEATURES,FCR,FCR,GP_Matern52_NoARD,11,31,0.25205475266059163,0.12793154423663466,0.28410506567476673,0.1488353682980446,-74.3633325678446,237.22225629733524,2.3621911967295173,3.1705840704548884,0.6212121212121212,0.4088663805838249
FULL_FEATURES,FCR,FCR,GP_Compuesto_NoARD,11,31,0.24474114217488377,0.12726818092034445,0.2781876481407464,0.14819969859553647,-74.123425466171,238.26452921371256,3.868994744228304,4.651693781461765,0.45454545454545453,0.3340900501603746
FULL_FEATURES,FCR,FCR,GP_Matern52_ARD,11,31,0.2707201958272573,0.12991604934735376,0.3019677267010654,0.15272247363067964,-73.27006761130544,233.13542190666615,5.147884899209114,10.58264237695749,0.6666666666666666,0.4472135954999579
FULL_FEATURES,Quitina,QUITINA (%),Dummy,11,33,2.2927375204010363,1.942537363398528,2.499819604575578,1.9760855603477054,-15.237192341329331,26.70152365399144,,,,
FULL_FEATURES,Quitina,QUITINA (%),GP_Linear,11,33,2.249991525170591,2.0177152319751728,2.387772036090356,2.1172154585642304,-15.927455837665935,28.65969614378079,3.2180412124412197,3.088617058092394,0.8484848484848485,0.3452418271182089
FULL_FEATURES,Quitina,QUITINA (%),GP_RBF_NoARD,11,33,2.127063164490833,1.871704085175272,2.2313592574147334,1.8677845060780256,-23.391498278103334,46.31791656421139,3.588406018959779,4.940741065613325,0.7878787878787878,0.3423035453683137
FULL_FEATURES,Quitina,QUITINA (%),GP_Matern32_NoARD,11,33,2.034371514985092,1.6985731259992665,2.1385235982517137,1.6924569082192478,-19.977186617545094,40.036726631575355,3.374591561240305,4.162183482401147,0.8181818181818182,0.40451991747794525
FULL_FEATURES,Quitina,QUITINA (%),GP_Matern52_NoARD,11,33,2.019079895299418,1.6677278586929818,2.125025656409786,1.664666488859765,-19.830165571900146,40.58276832440721,3.53368407996513,4.600192748999611,0.7575757575757575,0.3969581307590986
FULL_FEATURES,Quitina,QUITINA (%),GP_Compuesto_NoARD,11,33,1.9404555945918909,1.6795613623398105,2.079989656654349,1.7944719399662576,-11.5336812151681,20.124330664859503,2.987939169035173,2.464570366701556,0.6969696969696969,0.4070092943122622
FULL_FEATURES,Quitina,QUITINA (%),GP_Matern52_ARD,11,33,2.4893975549420846,1.881970387753226,2.619562883917488,1.8598100529741055,-24.93083846782932,42.38945290216341,3.031193183361248,2.123683899409244,0.8181818181818182,0.3113995776646092
